"# 46 - 119 D&#39;AMBROSIO DR Barrie, ON",Barrie,219900
"24 LILLINGTON ST Brampton, ON",Brampton,949900
"772 ASHPRIOR AVENUE Mississauga, ON",Mississauga,589900
"1504 - 150 PARK West Windsor, ON",City Centre,104800
"8908 Eight Line Halton Hills, ON",Halton Hills,3900000
"#706 - 75 THE DONWAY W ST Toronto, ON",Don Mills,383000
"253 ALICE STREET Eganville, ON",Eganville,159900
"37 BISCAY Road London, ON",Oakridge,349900
"3 COUNTRY CLUB CRES Uxbridge, ON",Goodwood,2150000
"150 STERLING Street London, ON",Carling,169900
"V/L WYANDOTTE  E V/L WYANDOTTE  E Windsor, ON",East Windsor,69500
"4 CASHMAN Place Kingston, ON",Kingston,309900
"4048 Spring Street Carlsbad Springs, ON",Carlsbad Springs,139500
"4067 CHESSWOOD DR Toronto, ON",York University Heights,150000
"337 PHIPPS Street Fort Erie, ON",Bridgeburg,159900
"#903 - 1276 MAPLE CROSSING BLVD Burlington, ON",Burlington,369000
"250 TERRAPIN CRESCENT Ottawa, ON",Orléans,430000
"2684 REGINA STREET Ottawa, ON",Woodroffe - Lincoln Heights,545000
"1 MAPLEBRANCH PATH Toronto, ON",Kingsview Village,487000
"3830 LAKERIDGE RD Pickering, ON",Whitby,5500000
"#1002 - 3590 Rivergate Way Ottawa, ON",Hunt Club Woods - Quintarra - Revelstoke - Riverside South P,589000
"222 HIGH Street London, ON",Highland,239900
"59 SEA DRIFTER CRES Brampton, ON",Brampton,529900
"438 EGAN STREET Thunder Bay, ON",Thunder Bay,219900
"1108 - 695 RICHMOND Street London, ON",Central London,214900
"900 MAPLE AVE Burlington, ON",Burlington,195000
"353 DIVISION Street Kingston, ON",Kingston,224224
"15 Russell Street Smiths Falls, ON",Smiths Falls,449900
"1035 BANK STREET W UNIT#1008 Ottawa, ON",The Glebe,499000
"81 LAURENTIAN DRIVE Petawawa, ON",Petawawa,282500
"59 CASTLETHORPE CRESCENT Ottawa, ON",Centrepointe,579000
"221 Royal Gala Private Ottawa, ON",Pineview,389900
"#1 E10 - 7215 GOREWAY DR Mississauga, ON",Malton,149900
"420 6TH Avenue East Owen Sound, ON",Owen Sound,189900
"205 -207 CARIERE AVENUE Cornwall, ON",Cornwall,68000
"180 BONNYLEY CRESCENT Kemptville, ON",Kemptville,527645
"02 ROGER STEVENS DRIVE Smiths Falls, ON",Smiths Falls,38500
"240 KENSINGTON Road Desbarats, ON",Richards Landing,154900
"20 Dalhousie Street Brantford, ON",Brantford,1200000
"24 Brady Cres Toronto, ON",Jane and Finch,569900
"#1 - 10 Cox Blvd Markham, ON",Markham,2900
"449 MINNESOTA Street Collingwood, ON",Collingwood,449000
"5 Brynhurst Crt Toronto, ON",Toronto,849000
"139 GREEN Street Deseronto, ON",Deseronto,115000
"42 STEPHENSON ROAD 12 West Huntsville, ON",Huntsville,149000
"40 Bramblegrove Crescent Ottawa, ON",Greenboro East,449900
"241 MC CAMUS Avenue Temiskaming Shores, ON",New Liskeard,189000
"2420 BARONWOOD Drive Oakville, ON",West Oak Trails,0
"549 Ridout St London, ON",Central London,214900
"997 Lockwood Circ Newmarket, ON",Stonehaven,1898000
"#54 - 42 Pinery Tr Toronto, ON",Malvern,215999
"75 - 151 GATESHEAD Crescent Stoney Creek, ON",Stoney Creek,274900
"306 Morrison Road Kitchener, ON",Centreville Chicopee,474900
"#307 - 199 Front St Belleville, ON",Belleville,243400
"1326 Granrock Cres Mississauga, ON",East Credit,629900
"7425 HAWTHORNE Windsor, ON",Forest Glade,89900
"15 The Square Bayfield, ON",Bluewater,495000
"808 825 Church Street Toronto, ON",Toronto,485800
"1 Legion Rd Meaford, ON",Meaford,289000
"3655 Lakeshore Rd Clarington, ON",Newcastle,1399900
"429 PARK Street Kincardine, ON",Kincardine,329700
"1934 2ND CONC Road Flamborough, ON",Flamborough,709900
"#135 - 3170 Erin Mills Pkwy Mississauga, ON",Erin Mills,479990
"1353 Hall Windsor, ON",Walkerville,169900
"65 OAKFIELD DR Toronto, ON",The Queensway,2640000
"#3004 - 80 Absolute Ave Mississauga, ON",Mississauga,409000
"19 FOXWARREN DR Toronto, ON",Bayview Village,1688000
"1460 LIMBERLOST RD|Unit 16 London, ON",Medway,137500
"6436 Seaver Rd Mississauga, ON",East Credit,799000
"88 Taysham Cres Toronto, ON",Rexdale,674900
"1054 Florence Windsor, ON",East Riverside,269900
"220 Petrie Lane Ottawa, ON",Kanata,184900
"#207 - 63 St Clair Ave Toronto, ON",Toronto,1299000
"90 Pine St Belleville, ON",Belleville,279000
"#B - 313 Hurontario St Collingwood, ON",Collingwood,29500
"#519 - 1185 THE QUEENSWAY Toronto, ON",The Queensway,340800
"13184 YONGE ST Richmond Hill, ON",Richmond Hill,4888000
"249 Donly Street Simcoe, ON",Simcoe,324900
"#52 - 1667 ALBION RD Toronto, ON",Rexdale,424999
"#232 - 222 SPADINA AVE Toronto, ON",Toronto,250000
"3277 Michaud Ave Mississauga, ON",Malton,584900
"#123 - 2980 Drew Rd Mississauga, ON",Mississauga,419900
"246 TOBIN Court Peterborough, ON",Peterborough,324900
"139 DURHAM Street Madoc, ON",Madoc,209900
"593 CINNAMON CRESCENT Kinburn, ON",Kinburn,129900
"#Th21 - 96-104 Coxwell Ave Toronto, ON",Leslieville,809900
"8899 LYNNWOOD PARK Edwards, ON",Osgoode,53000
"#14 -15 - 1575 DREW RD Mississauga, ON",Mississauga,502800
"5686 Longboat Avenue Mississauga, ON",Erin Mills,699900
"12 Cedar St Napanee, ON",Prince Edward,119900
"3 Queen St Mississauga, ON",Streetsville,89000
"Lot 20 May Dean Drive Ottawa, ON",Ottawa,39900
"#4B - 4040 Creditview Rd Mississauga, ON",Mississauga,120000
"1692 Teakdale Avenue Ottawa, ON",Orléans,409000
"50 KNOXDALE ROAD Ottawa, ON",Woodvale - Craig Henry - Manordale - Estates of Arlington Wo,429900
"1625 PURSER ST|Unit 41 London, ON",Huron Heights,233000
"523 AMBLESIDE Drive London, ON",Masonville,419900
"#401 - 71 Jonesville Cres Toronto, ON",Toronto,289900
"#13 - 1270 FINCH AVE W Toronto, ON",York University Heights,419000
"#31 - 6020 DERRY RD Milton, ON",Milton,460000
"866 YORK AVE N Listowel, ON",Listowel,249000
"Havensford Rd Wilberforce, ON",Wilberforce,84900
"65 Silvercreek Parkway Guelph, ON",Onward Willow,174900
"460 Osborne St Brock, ON",Beaverton,1299900
"2310 ST LAURENT BOULEVARD UNIT#210 Ottawa, ON",Industrial Park,320000
"12 MARINERS LANE Fort Erie, ON",Fort Erie,659900
"#341 - 4750 YONGE ST Toronto, ON",Toronto,295000
"76 WHEATSHEAF CRES Toronto, ON",Black Creek,599000
"#604 - 2645 KIPLING AVE Toronto, ON",Rexdale,139995
"115 WILDBERRY CRES Brampton, ON",Brampton,634900
"71 CLUBHOUSE Drive Huntsville, ON",Huntsville,199000
"20 Park Drive Huntsville, ON",Huntsville,10000
"1353 HALL Windsor, ON",Walkerville,169900
"1503 81 CHURCH Street Kitchener, ON",Cedar Hill,194500
"#405 - 295 ADELAIDE ST W Toronto, ON",Toronto,389990
"74 DUCATEL CRES Ajax, ON",Ajax,465000
"519 CANAL Road Huntsville, ON",Huntsville,299000
"72 BEAKES CRES Vaughan, ON",Maple,2849000
"858 8TH CONC Road Flamborough, ON",Flamborough,649000
"94 JOHN BELL CRES Toronto, ON",Clairlea - Birchmount,699900
"242 Temby Private Ottawa, ON",Greenboro East,259900
"#321 - 29 Queens Quay Toronto, ON",Central Waterfront,595900
"354 /356 MARLEE AVE Toronto, ON",Briar Hill - Belgravia,739000
"16 DRYNOCH AVE Richmond Hill, ON",Richmond Hill,2100000
"346 QUEENSTON Road Hamilton, ON",Glenview East,1499000
"36 PINEHURST ESTATES STREET Petawawa, ON",Petawawa,25000
"6932 BILBAO LANE Mississauga, ON",Mississauga,479900
"73 CEDAR BUSH Southampton, ON",Southampton,600000
"276 Steeles Ave Milton, ON",Milton,569786
"1736 St. Barbara Street Ottawa, ON",Blossom Park - Blossom Park West - Sawmill Creek/ Timbermill,739000
"22 MARINE Drive Blind River, ON",Blind River,235000
"550 INDUSTRIAL RD Cambridge, ON",Lang's Farm,1950000
"819 Ritson Rd Oshawa, ON",Lakeview,469900
"2505 8TH AVE E Owen Sound, ON",Owen Sound,259900
"5 Invermara Crt Orillia, ON",Orillia,619900
"LOT 21 PRINCIPAL ST Verner, ON",Verner,19000
"155 STONE CHURCH Road Hamilton, ON",Sheldon,399900
"#D21-22 - 1472 Thornton Rd Oshawa, ON",Northwood,490000
"89 Matthewson Ave Bradford West Gwillimbury, ON",Bradford West Gwillimbury,539900
"1099 Four Seasons Rd Gravenhurst, ON",Severn Bridge,38900
"220 Victoria St Sudbury, ON",Sudbury,7
"8 Lakeside Lane Port Dover, ON",Port Dover,410000
"712 Loach`s Rd Sudbury, ON",Sudbury,189900
"#313 - 1797 Queen St Toronto, ON",The Beach,634900
"#37 - 6449 Glen Erin Dr Mississauga, ON",Mississauga,419000
"PTLT8 HYDRO BAY ROAD Cobden, ON",Cobden,94950
"125 GAILMONT Drive Hamilton, ON",Corman,29997
". SAUNDERS DRIVE . SAUNDERS DRIVE Cornwall, ON",Cornwall,399000
"#3008 - 16 Brookers Lane Toronto, ON",Humber Bay Shores,419000
"42 York St Haliburton, ON",Haliburton,224000
"4459 NAVAN ROAD Ottawa, ON",Navan,349900
"77 GOLDEN BLVD W Welland, ON",Welland,600000
"361 Hannah Rd Bewdley, ON",Bewdley,160000
"5991 LUNDY&#39;S Lane Niagara Falls, ON",Niagara Falls,399000
"26 Eastern Ave New Tecumseth, ON",Tottenham,325900
"#3403 - 105 THE QUEENSWAY Toronto, ON",Swansea,499000
"#904 - 2175 LAKE SHORE BLVD Toronto, ON",Mimico,379900
"5 Northcliffe Blvd Toronto, ON",Regal Heights,1995000
"70 Boyce Avenue Nepean, ON",Bayshore,445000
"7 VAN ALLAN RD Toronto, ON",Woburn,615000
"872 College St Toronto, ON",Dufferin Grove,1599000
"1470 -72 PARENT Windsor, ON",Walkerville,144900
"#UNIT A - 6651 Bilberry Drive Ottawa, ON",Orléans,176900
"30 Cape Breton Crt Richmond Hill, ON",Richmond Hill,728800
"887 Flat Road Ottawa, ON",Greenbelt,199000
"23 MARCEL STREET Embrun, ON",Embrun,299900
"90 PETER STREET Renfrew, ON",Renfrew,147500
"34 AUSTIN TERR Toronto, ON",Toronto,2629000
"3765 LOGGERS WAY UNIT#104 Kinburn, ON",Kinburn,5
"27 SAMUEL Place London, ON",Oakridge,487900
"40 MAIN Street Bruce Mines, ON",Bruce Mines,64900
"126 Pressed Brick Dr Brampton, ON",Brampton,499900
"#D5 - 970 SOUTHDOWN RD Mississauga, ON",Mississauga,299999
"00 WILLOW WAY Perth, ON",Perth,325000
"#105 - 218 Export Blvd Mississauga, ON",Mississauga,513450
"93 Mcclintock Way Ottawa, ON",Kanata,205000
"1404 25 Carlton Street Toronto, ON",Toronto,539900
